Nombre;Descripcion;Categoria;Etiquetas;Precio;URL FOTO
Shampoo H&S Carbon Activado;Botella x 375 ml;Cuidado Personal;Shampoo;17800;https://perfumeriaspigmento.com.ar/media/catalog/product/cache/image/620x678/e9c3970ab036de70892d86c6d221abfe/7/5/7500435138000-1.jpg
Shampoo H&S Proteccion Caida;Botella x 375 ml;Cuidado Personal;Shampoo;17800;https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3472314-750-750/7500435019712.jpg?v=637115238565900000
Shampoo H&S Alivio Refrescante;Botella x 375 ml;Cuidado Personal;Shampoo;17800;https://i.linio.com/p/046387645015de6234b0516fecc3ea12-product.jpg
Shampoo H&S Control Grasa;Botella x 180 ml;Cuidado Personal;Shampoo;11800;https://www.eurosupermercados.com/eurosupermercado2020//contenidos/images/ecommerce_productos/7500435019576.jpg
Shampoo H&S Nutricion Profunda;Botella x 180 ml;Cuidado Personal;Shampoo;11800;https://cdn.shopify.com/s/files/1/0259/5278/0324/products/1_nutricion_profunda_40445c15-de10-47dc-8493-aac4850c4f07.png?v=1591568358
Shampoo H&S Limpieza Renovadora;Botella x 180 ml;Cuidado Personal;Shampoo;11800;https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3472310-1000-1000/7500435019958.jpg?v=637115237083630000
Shampoo H&S Carbon Activado;Botella x 180 ml;Cuidado Personal;Shampoo;11800;https://azcdn.hubble.pgsitecore.com/es/-/media/HeadandShoulders_MX/Images/Products/2019/shampoo/07500435138000_C1N1_LA.jpg?h=1600&la=es&w=1600&v=1-201903111433
Shampoo H&S Proteccion Caida;Botella x 180 ml;Cuidado Personal;Shampoo;11800;https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3472314-750-750/7500435019712.jpg?v=637115238565900000
Shampoo H&S Alivio Refrescante;Botella x 180 ml;Cuidado Personal;Shampoo;11800;https://www.eurosupermercados.com/eurosupermercado2020//contenidos/images/ecommerce_productos/7500435020077.jpg
Shampoo Savital Anticaspa;Botella x 550 ml;Cuidado Personal;Shampoo;14600;https://www.privun.com/pub/media/catalog/product/cache/75eed2686e01eb22cb4050b2f40ddf97/h/t/httpsstorage.googleapis.comfotos-novaventaprivun2011381-savital-shampoo-anticaspa.jpg
Shampoo Savital Biotina ;Botella x 550 ml;Cuidado Personal;Shampoo;14600;https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3503484-1000-1000/7702006299152.jpg?v=637249840053900000
